Movie Title,Oscar Ceremony Year,Actor in a Leading Role,Actor in a Supporting Role,Actress in a Leading Role,Actress in a Supporting Role,Animated Feature Film,Animated Short Film,Art Direction,Best Picture,Cinematography,Costume Design,Directing,Documentary (Feature),Documentary (Short Subject),Documentary Feature Film,Documentary Short Film,Film Editing,Foreign Language Film,International Feature Film,Irving G. Thalberg Memorial Award,Jean Hersholt Humanitarian Award,Live Action Short Film,Makeup,Makeup and Hairstyling,Music (Original Score),Music (Original Song),Production Design,Short Film (Animated),Short Film (Live Action),Sound,Sound Editing,Sound Mixing,Visual Effects,Writing (Adapted Screenplay),Writing (Original Screenplay)
Flight,2013,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
Florence Foster Jenkins,2017,,,Nominated,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,
"Food, Inc.",2010,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Footnote,2012,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
For Sama,2020,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Ford v Ferrari,2020,,,,,,,,Nominated,,,,,,,,Winner,,,,,,,,,,,,,,Winner,Nominated,,,
Four Daughters,2024,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,
Foxcatcher,2015,Nominated,Nominated,,,,,,,,,Nominated,,,,,,,,,,,,Nominated,,,,,,,,,,,Nominated
Frankenweenie,2013,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Guy,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Free Solo,2019,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,
French Roast,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Fresh Guacamole,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Frost/Nixon,2009,Nominated,,,,,,,Nominated,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,Nominated,
Frozen,2014,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frozen River,2009,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
Garden Party,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Gasland,2011,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Genius Loci,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Get a Horse!,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Get Out,2018,Nominated,,,,,,,Nominated,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,Winner
Glass Onion: A Knives Out Mystery,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,
God Is the Bigger Elvis,2012,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
God of Love,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,
Godzilla Minus One,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,
Golda,2024,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,
Gone Girl,2015,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granny O'Grimm's Sleeping Beauty,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Gravity,2014,,,Nominated,,,,,Nominated,Winner,,Winner,,,,,Winner,,,,,,,,Winner,,Nominated,,,,Winner,Winner,Winner,,
Green Book,2019,Nominated,Winner,,,,,,Winner,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,Winner
Greyhound,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,
Guardians of the Galaxy,2015,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,Nominated,,
Guardians of the Galaxy Vol. 2,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Guardians of the Galaxy Vol. 3,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Guillermo del Toro's Pinocchio,2023,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacksaw Ridge,2017,Nominated,,,,,,,Nominated,,,Nominated,,,,,Winner,,,,,,,,,,,,,,Nominated,Winner,,,
"Hail, Caesar!",2017,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,
Hair Love,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,
"Hale County This Morning, This Evening",2019,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Happy-Go-Lucky,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
Harriet,2020,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Potter and the Deathly Hallows Part 1,2011,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Harry Potter and the Deathly Hallows Part 2,2012,,,,,,,Nominated,,,,,,,,,,,,,,,Nominated,,,,,,,,,,Nominated,,
Harry Potter and the Half-Blood Prince,2010,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,
Haulout,2023,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,
Head over Heels,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Heaven Is a Traffic Jam on the 405,2018,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,
Helium,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,
Hell and Back Again,2012,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Hell or High Water,2017,,Nominated,,,,,,Nominated,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,Nominated
Hellboy II: The Golden Army,2009,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,
Henry,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Her,2014,,,,,,,,Nominated,,,,,,,,,,,,,,,,Nominated,,Nominated,,,,,,,,Winner
Hereafter,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Heroin(e),2018,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Hidden Figures,2017,,,,Nominated,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,
Hillbilly Elegy,2021,,,,Nominated,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,
Hitchcock,2013,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,
Honeyland,2020,,,,,,,,,,,,Nominated,,,,,,Nominated,,,,,,,,,,,,,,,,
House of Gucci,2022,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,
How Do You Measure a Year?,2023,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,
How to Survive a Plague,2013,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
How to Train Your Dragon,2011,,,,,Nominated,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,
How to Train Your Dragon 2,2015,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to Train Your Dragon: The Hidden World,2020,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo,2012,,,,,,,Winner,Nominated,Winner,Nominated,Nominated,,,,,Nominated,,,,,,,,Nominated,,,,,,Winner,Winner,Winner,Nominated,
Hunger Ward,2021,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
I Am Love,2011,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,
I Am Not Your Negro,2017,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
I Lost My Body,2020,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I, Tonya",2018,,,Nominated,Winner,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,
Icarus,2018,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,
Ice Merchants,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Ida,2015,,,,,,,,,Nominated,,,,,,,,Winner,,,,,,,,,,,,,,,,,
If a Tree Falls: A Story of the Earth Liberation Front,2012,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
If Anything Happens I Love You,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,
If Beale Street Could Talk,2019,,,,Winner,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,Nominated,
Il Divo,2010,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,
In a Better World,2011,,,,,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,
In Bruges,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
In Darkness,2012,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
In the Absence,2020,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
In the Loop,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,
Incendies,2011,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
Inception,2011,,,,,,,Nominated,Nominated,Winner,,,,,,,,,,,,,,,Nominated,,,,,,Winner,Winner,Winner,,Nominated
Incident in New Baghdad,2012,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Incredibles 2,2019,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Jones and the Dial of Destiny,2024,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,
Inglourious Basterds,2010,,Winner,,,,,,Nominated,Nominated,,Nominated,,,,,Nominated,,,,,,,,,,,,,,Nominated,Nominated,,,Nominated
Inherent Vice,2015,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,Nominated,
Inocente,2013,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,
Inside Job,2011,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,
Inside Llewyn Davis,2014,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,Nominated,,,
Inside Out,2016,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
Instead of Abracadabra,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Interstellar,2015,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,Nominated,,,,Nominated,Nominated,Winner,,
Into the Woods,2015,,,,Nominated,,,,,,Nominated,,,,,,,,,,,,,,,,Nominated,,,,,,,,
Invictus,2010,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invincible,2024,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,
Io Capitano,2024,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,
Iron Man,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,Nominated,,
Iron Man 2,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Iron Man 3,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Island in Between,2024,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,
Isle of Dogs,2019,,,,,Nominated,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,
Ivalu,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Jackass Presents: Bad Grandpa,2014,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,
Jackie,2017,,,Nominated,,,,,,,Nominated,,,,,,,,,,,,,,Nominated,,,,,,,,,,
Jane Eyre,2012,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,
Joanna,2015,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Joe's Violin,2017,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Jojo Rabbit,2020,,,,Nominated,,,,Nominated,,Nominated,,,,,,Nominated,,,,,,,,,,Nominated,,,,,,,Winner,
Joker,2020,Winner,,,,,,,Nominated,Nominated,Nominated,Nominated,,,,,Nominated,,,,,,,Nominated,Winner,,,,,,Nominated,Nominated,,Nominated,
Joy,2016,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judas and the Black Messiah,2021,,Nominated,,,,,,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
Judy,2020,,,Winner,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,
Julie & Julia,2010,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karama Has No Walls,2014,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Kavi,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Killers of the Flower Moon,2024,,Nominated,Nominated,,,,,Nominated,Nominated,Nominated,Nominated,,,,,Nominated,,,,,,,,Nominated,,Nominated,,,,,,,,
Killing in the Name,2011,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
King Richard,2022,Winner,,,Nominated,,,,Nominated,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,Nominated
Kings Point,2013,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Kitbull,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Klaus,2020,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knife Skills,2018,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Knight of Fortune,2024,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,
Knives Out,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
Kon-Tiki,2013,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
Kong: Skull Island,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Kubo and the Two Strings,2017,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Kung Fu Panda,2009,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kung Fu Panda 2,2012,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Femme et le TGV,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
La La Land,2017,Nominated,,Winner,,,,,Nominated,Winner,Nominated,Winner,,,,,Nominated,,,,,,,,Winner,,Winner,,,,Nominated,Nominated,,,Nominated
La Luna,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
La Maison en Petits Cubes (The House of Small Cubes),2009,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,
Lady Bird,2018,,,Nominated,Nominated,,,,Nominated,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,Nominated
Land of Mine,2017,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
Last Day of Freedom,2016,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Last Days in Vietnam,2015,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Last Men in Aleppo,2018,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Late Afternoon,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Lavatory - Lovestory (Ubornaya istoriya - lyubovnaya istoriya),2009,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Le Pupille,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Lead Me Home,2022,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Learning to Skateboard in a Warzone (If You're a Girl),2020,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,
Les Misérables,2013,,,,,,,,Nominated,,Nominated,,,,,,,,,,,,,Winner,,,Nominated,,,,,Winner,,,
Les Misérables,2020,Nominated,,,Winner,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,
Let's Pollute,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Letter to a Pig,2024,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leviathan,2015,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
Licorice Pizza,2022,,,,,,,,Nominated,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,Nominated
Life of Pi,2013,,,,,,,,Nominated,Winner,,Winner,,,,,Nominated,,,,,,,,Winner,,Nominated,,,,Nominated,Nominated,Winner,Nominated,
Life Overtakes Me,2020,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
"Life, Animated",2017,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Lifeboat,2019,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Lincoln,2013,Winner,Nominated,,Nominated,,,,Nominated,Nominated,Nominated,Nominated,,,,,Nominated,,,,,,,,Nominated,,Winner,,,,,Nominated,,Nominated,
Lion,2017,,Nominated,,Nominated,,,,Nominated,Nominated,,,,,,,,,,,,,,,Nominated,,,,,,,,,Nominated,
Little Women,2020,,,Nominated,Nominated,,,,Nominated,,Winner,,,,,,,,,,,,,,Nominated,,,,,,,,,Nominated,
Living,2023,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,
Logan,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,
Logorama,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,
Lone Survivor,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,Nominated,,,
Lou,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Love and Monsters,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Loveless,2018,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
Loving,2017,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loving Vincent,2018,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca,2022,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunana: A Yak in the Classroom,2022,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,
Ma Rainey's Black Bottom,2021,Nominated,,Nominated,,,,,,,Winner,,,,,,,,,,,,,Winner,,,Nominated,,,,,,,,
Mad Max: Fury Road,2016,,,,,,,,Nominated,Nominated,Winner,Nominated,,,,,Winner,,,,,,,Winner,,,Winner,,,,Winner,Winner,Nominated,,
"Madagascar, carnet de voyage (Madagascar, a Journey Diary)",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Maestro,2024,Nominated,,Nominated,,,,,Nominated,Nominated,,,,,,,,,,,,,,Nominated,,,,,,Nominated,,,,,Nominated
"Maggie Simpson in ""The Longest Daycare"" (The Longest Daycare)",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Maleficent,2015,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,
Maleficent: Mistress of Evil,2020,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,
Man on Wire,2009,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,
Manchester by the Sea,2017,Winner,Nominated,,Nominated,,,,Nominated,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,Winner
Mank,2021,Nominated,,,Nominated,,,,Nominated,Winner,Nominated,Nominated,,,,,,,,,,,,Nominated,Nominated,,Winner,,,Nominated,,,,,
Manon on the Asphalt (Manon sur le bitume),2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Marcel the Shell with Shoes On,2023,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin Call,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
Marguerite,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Marriage Story,2020,Nominated,,Nominated,Winner,,,,Nominated,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,Nominated
Marvel's The Avengers (The Avengers),2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Mary Poppins Returns,2019,,,,,,,,,,Nominated,,,,,,,,,,,,,,Nominated,,Nominated,,,,,,,,
Mary Queen of Scots,2019,,,,,,,,,,Nominated,,,,,,,,,,,,,Nominated,,,,,,,,,,,
May December,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
Me and My Moulton,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Memorable,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Midnight in Paris,2012,,,,,,,Nominated,Nominated,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,Winner
Milk,2009,Winner,Nominated,,,,,,Nominated,,Nominated,Nominated,,,,,Nominated,,,,,,,,Nominated,,,,,,,,,,Winner
Minari,2021,Nominated,,,Winner,,,,Nominated,,,Nominated,,,,,,,,,,,,,Nominated,,,,,,,,,,Nominated
Minding the Gap,2019,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Miracle Fish,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Mirai,2019,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirror Mirror,2013,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,
Missing Link,2020,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mission: Impossible - Dead Reckoning Part One,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,Nominated,,
Moana,2017,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molly's Game,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,
Mondays at Racine,2013,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Moneyball,2012,Nominated,Nominated,,,,,,Nominated,,,,,,,,Nominated,,,,,,,,,,,,,,,Nominated,,Nominated,
Monsieur Lazhar,2012,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
Moonlight,2017,,Winner,,Nominated,,,,Winner,Nominated,,Nominated,,,,,Nominated,,,,,,,,Nominated,,,,,,,,,Winner,
Moonrise Kingdom,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
Mother,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Mr. Hublot,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,
Mr. Turner,2015,,,,,,,,,Nominated,Nominated,,,,,,,,,,,,,,Nominated,,Nominated,,,,,,,,
Mrs. Harris Goes to Paris,2023,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,
Mudbound,2018,,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,Nominated,
Mulan,2021,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Music by Prudence,2010,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,
Mustang,2016,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
My Life as a Zucchini,2017,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Nephew Emmett,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
My Octopus Teacher,2021,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,
My Week with Marilyn,2012,,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Year of Dicks,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Na Wewe,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Napoleon,2024,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,Nominated,,,,,,Nominated,,
Navalny,2023,,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,
Nebraska,2014,Nominated,,,Nominated,,,,Nominated,Nominated,,Nominated,,,,,,,,,,,,,,,,,,,,,,,Nominated
Nefta Football Club,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Negative Space,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Never Look Away,2019,,,,,,,,,Nominated,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
New Boy,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
News of the World,2021,,,,,,,,,Nominated,,,,,,,,,,,,,,,Nominated,,Nominated,,,Nominated,,,,,
Night Ride,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Nightcrawler,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
Nightmare Alley,2022,,,,,,,,Nominated,Nominated,Nominated,,,,,,,,,,,,,,,,Nominated,,,,,,,,
Nimona,2024,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nine,2010,,,,Nominated,,,Nominated,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,
Ninety-Five Senses,2024,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,2013,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
No Time to Die,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,Nominated,,
Nocturnal Animals,2017,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nomadland,2021,,,Winner,,,,,Winner,Nominated,,Winner,,,,,Nominated,,,,,,,,,,,,,,,,,Nominated,
Nyad,2024,,,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nǎi Nai & Wài Pó,2024,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,
O.J.: Made in America,2017,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,
Of Fathers and Sons,2019,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Oktapodi,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Omar,2014,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
On Body and Soul,2018,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
On My Mind,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Once upon a Time...in Hollywood,2020,Nominated,Winner,,,,,,Nominated,Nominated,Nominated,Nominated,,,,,,,,,,,,,,,Winner,,,,Nominated,Nominated,,,Nominated
One Night in Miami...,2021,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,
One Small Step,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Onward,2021,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Heart,2013,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
