Movie Title,Oscar Ceremony Year,Actor in a Leading Role,Actor in a Supporting Role,Actress in a Leading Role,Actress in a Supporting Role,Animated Feature Film,Animated Short Film,Art Direction,Best Picture,Cinematography,Costume Design,Directing,Documentary (Feature),Documentary (Short Subject),Documentary Feature Film,Documentary Short Film,Film Editing,Foreign Language Film,International Feature Film,Irving G. Thalberg Memorial Award,Jean Hersholt Humanitarian Award,Live Action Short Film,Makeup,Makeup and Hairstyling,Music (Original Score),Music (Original Song),Production Design,Short Film (Animated),Short Film (Live Action),Sound,Sound Editing,Sound Mixing,Visual Effects,Writing (Adapted Screenplay),Writing (Original Screenplay)
Amour,2013,,,Nominated,,,,,Nominated,,,Nominated,,,,,,Winner,,,,,,,,,,,,,,,,,Nominated
Amy,2016,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,
An Education,2010,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,
An Irish Goodbye,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,
An Ostrich Told Me the World Is Fake and I Think I Believe It,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Anatomy of a Fall,2024,,,Nominated,,,,,Nominated,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,,Winner
Animal Behaviour,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Animal Kingdom,2011,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Karenina,2013,,,,,,,,,Nominated,Winner,,,,,,,,,,,,,,Nominated,,Nominated,,,,,,,,
Anomalisa,2016,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous,2012,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,
Another Round,2021,,,,,,,,,,,Nominated,,,,,,,Winner,,,,,,,,,,,,,,,,
Another Year,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
Aquel No Era Yo (That Wasn't Me),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
"Argentina, 1985",2023,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,
Argo,2013,,Nominated,,,,,,Winner,,,,,,,,Winner,,,,,,,,Nominated,,,,,,Nominated,Nominated,,Winner,
Arrival,2017,,,,,,,,Nominated,Nominated,,Nominated,,,,,Nominated,,,,,,,,,,Nominated,,,,Winner,Nominated,,Nominated,
Asad,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Ascension,2022,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
At Eternity's Gate,2019,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attica,2022,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Audible,2022,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Auf der Strecke (On the Line),2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
August: Osage County,2014,,,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2009,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,
