Movie Title,Oscar Ceremony Year,Cast Involved,Actor in a Leading Role,Actor in a Supporting Role,Actress in a Leading Role,Actress in a Supporting Role,Animated Feature Film,Animated Short Film,Art Direction,Best Picture,Cinematography,Costume Design,Directing,Documentary (Feature),Documentary (Short Subject),Documentary Feature Film,Documentary Short Film,Film Editing,Foreign Language Film,International Feature Film,Irving G. Thalberg Memorial Award,Jean Hersholt Humanitarian Award,Live Action Short Film,Makeup,Makeup and Hairstyling,Music (Original Score),Music (Original Song),Production Design,Short Film (Animated),Short Film (Live Action),Sound,Sound Editing,Sound Mixing,Visual Effects,Writing (Adapted Screenplay),Writing (Original Screenplay),Won_Oscars,Oscars_Won,Total_Oscars_Awarded,Percentage of Wins
A Sister,2020,Delphine Girard,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,24,0.0
A Star Is Born,2019,"Bradley Cooper, Sam Elliott, Lady Gaga, Matthew Libatique, Bill Gerber, Bradley Cooper and Lynette Howell Taylor, Producers, Tom Ozanich, Dean Zupancic, Jason Ruder and Steve Morrow, Screenplay by Eric Roth and Bradley Cooper & Will Fetters",Nominated,Nominated,Nominated,,,,,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,,Nominated,,Nominated,,False,0,23,0.0
A War,2016,Denmark,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,False,0,23,0.0
Abacus: Small Enough to Jail,2018,"Steve James, Mark Mitten and Julie Goldman",,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Ad Astra,2020,"Gary Rydstrom, Tom Johnson and Mark Ulano",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,False,0,24,0.0
Adam and Dog,2013,Minkyu Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,22,0.0
Affairs of the Art,2022,Joanna Quinn and Les Mills,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,22,0.0
Aftersun,2023,Paul Mescal,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,21,0.0
Ajami,2010,Israel,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,False,0,23,0.0
Ala Kachuu - Take and Run,2022,Maria Brendle and Nadine Lüchinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,22,0.0
Albert Nobbs,2012,"Glenn Close, Janet McTeer, Martial Corneville, Lynn Johnston and Matthew W. Mungle",,,Nominated,Nominated,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,False,0,22,0.0
Alice in Wonderland,2011,"Production Design: Robert Stromberg; Set Decoration: Karen O'Hara, Colleen Atwood, Ken Ralston, David Schaub, Carey Villegas and Sean Phillips",,,,,,,Winner,,,Winner,,,,,,,,,,,,,,,,,,,,,,Nominated,,,True,2,22,9.09
