Movie Title,Oscar Ceremony Year,Cast Involved,Actor in a Leading Role,Actor in a Supporting Role,Actress in a Leading Role,Actress in a Supporting Role,Animated Feature Film,Animated Short Film,Art Direction,Best Picture,Cinematography,Costume Design,Directing,Documentary (Feature),Documentary (Short Subject),Documentary Feature Film,Documentary Short Film,Film Editing,Foreign Language Film,International Feature Film,Irving G. Thalberg Memorial Award,Jean Hersholt Humanitarian Award,Live Action Short Film,Makeup,Makeup and Hairstyling,Music (Original Score),Music (Original Song),Production Design,Short Film (Animated),Short Film (Live Action),Sound,Sound Editing,Sound Mixing,Visual Effects,Writing (Adapted Screenplay),Writing (Original Screenplay),Won_Oscars,Oscars_Won,Total_Oscars_Awarded,Percentage of Wins
Bobi Wine: The People's President,2024,"Moses Bwayo, Christopher Sharp and John Battsek",,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Body Team 12,2016,David Darg and Bryn Mooser,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Bohemian Rhapsody,2019,"Rami Malek, John Ottman, Graham King, Producer, John Warhurst and Nina Hartstone, Paul Massey, Tim Cavagin and John Casali",Winner,,,,,,,Nominated,,,,,,,,Winner,,,,,,,,,,,,,,Winner,Winner,,,,True,4,23,17.39
Bolt,2009,Chris Williams and Byron Howard,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Bombshell,2020,"Charlize Theron, Margot Robbie, Kazu Hiro, Anne Morgan and Vivian Baker",,,Nominated,Nominated,,,,,,,,,,,,,,,,,,,Winner,,,,,,,,,,,,True,1,24,4.17
Boogaloo and Graham,2015,Michael Lennox and Ronan Blaney,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,23,0.0
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2021,"Maria Bakalova, Screenplay by Sacha Baron Cohen & Anthony Hines & Dan Swimer & Peter Baynham & Erica Rivinoja & Dan Mazer & Jena Friedman & Lee Kern; Story by Sacha Baron Cohen & Anthony Hines & Dan Swimer & Nina Pedrad",,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,False,0,21,0.0
Border,2019,Göran Lundström and Pamela Goldammer,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,False,0,23,0.0
Borrowed Time,2017,Andrew Coats and Lou Hamou-Lhadj,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,23,0.0
Boxballet,2022,Anton Dyakov,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,22,0.0
Boy and the World,2016,Alê Abreu,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Boyhood,2015,"Ethan Hawke, Patricia Arquette, Richard Linklater, Sandra Adair, Richard Linklater and Cathleen Sutherland, Producers, Written by Richard Linklater",,Nominated,,Winner,,,,Nominated,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,,Nominated,True,1,23,4.35
Brave,2013,Mark Andrews and Brenda Chapman,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,22,4.55
Bridesmaids,2012,"Melissa McCarthy, Written by Annie Mumolo & Kristen Wiig",,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,False,0,22,0.0
Bridge of Spies,2016,"Mark Rylance, Thomas Newman, Steven Spielberg, Marc Platt and Kristie Macosko Krieger, Producers, Production Design: Adam Stockhausen; Set Decoration: Rena DeAngelo and Bernhard Henrich, Andy Nelson, Gary Rydstrom and Drew Kunin, Written by Matt Charman and Ethan Coen & Joel Coen",,Winner,,,,,,Nominated,,,,,,,,,,,,,,,,Nominated,,Nominated,,,,,Nominated,,,Nominated,True,1,23,4.35
Bright Star,2010,Janet Patterson,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Brooklyn,2016,"Saoirse Ronan, Finola Dwyer and Amanda Posey, Producers, Screenplay by Nick Hornby",,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,False,0,23,0.0
Brotherhood,2020,Meryam Joobeur and Maria Gracia Turgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,24,0.0
Bullhead,2012,Belgium,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,False,0,22,0.0
Burma VJ,2010,Burma VJ,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Burrow,2021,Madeline Sharafian and Michael Capbarat,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,21,0.0
Butter Lamp (La Lampe Au Beurre De Yak),2015,Hu Wei and Julien Féret,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,23,0.0
Buzkashi Boys,2013,Sam French and Ariel Nasr,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,22,0.0
Call Me by Your Name,2018,"Timothée Chalamet, Peter Spears, Luca Guadagnino, Emilie Georges and Marco Morabito, Producers, Screenplay by James Ivory",Nominated,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,True,1,22,4.55
Can You Ever Forgive Me?,2019,"Richard E. Grant, Melissa McCarthy, Screenplay by Nicole Holofcener and Jeff Whitty",,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,False,0,23,0.0
Captain America: The Winter Soldier,2015,"Dan DeLeeuw, Russell Earl, Bryan Grill and Dan Sudick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,False,0,23,0.0
Captain Fantastic,2017,Viggo Mortensen,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Captain Phillips,2014,"Barkhad Abdi, Christopher Rouse, Scott Rudin, Dana Brunetti and Michael De Luca, Producers, Oliver Tarney, Chris Burdon, Mark Taylor, Mike Prestwood Smith and Chris Munro, Screenplay by Billy Ray",,Nominated,,,,,,Nominated,,,,,,,,Nominated,,,,,,,,,,,,,,Nominated,Nominated,,Nominated,,False,0,23,0.0
Carol,2016,"Cate Blanchett, Rooney Mara, Ed Lachman, Sandy Powell, Carter Burwell, Screenplay by Phyllis Nagy",,,Nominated,Nominated,,,,,Nominated,Nominated,,,,,,,,,,,,,,Nominated,,,,,,,,,Nominated,,False,0,23,0.0
Cartel Land,2016,Matthew Heineman and Tom Yellin,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Causeway,2023,Brian Tyree Henry,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,21,0.0
CaveDigger,2014,Jeffrey Karoff,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Changeling,2009,"Angelina Jolie, Art Direction: James J. Murakami; Set Decoration: Gary Fettis, Tom Stern",,,Nominated,,,,Nominated,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
"Chau, beyond the Lines",2016,Courtney Marsh and Jerry Franck,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Chico & Rita,2012,Fernando Trueba and Javier Mariscal,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Chile,2018,A Fantastic Woman,,,,,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,True,1,22,4.55
China's Unnatural Disaster: The Tears of Sichuan Province,2010,Jon Alpert and Matthew O'Neill,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Christopher Robin,2019,"Christopher Lawrence, Michael Eames, Theo Jones and Chris Corbould",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,False,0,23,0.0
Cinderella,2016,Sandy Powell,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
CitizenFour,2015,"Laura Poitras, Mathilde Bonnefoy and Dirk Wilutzky",,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,True,1,23,4.35
Claude Lanzmann: Spectres of the Shoah,2016,Adam Benzine,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Close,2023,Belgium,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,False,0,21,0.0
Coco,2018,Lee Unkrich and Darla K. Anderson,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,22,4.55
Coco before Chanel,2010,Catherine Leterrier,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
CODA,2022,"Troy Kotsur, Philippe Rousselet, Fabrice Gianfermi and Patrick Wachsberger, Producers, Screenplay by Siân Heder",,Winner,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,True,3,22,13.64
Cold War,2019,"Łukasz Żal, Paweł Pawlikowski",,,,,,,,,Nominated,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Colette,2021,Anthony Giacchino and Alice Doyard,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,True,1,21,4.76
Collective,2021,"Alexander Nanau and Bianca Oana, Romania",,,,,,,,,,,,Nominated,,,,,,Nominated,,,,,,,,,,,,,,,,,False,0,21,0.0
Coming 2 America,2022,"Mike Marino, Stacey Morris and Carla Farmer",,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,False,0,22,0.0
Coraline,2010,Henry Selick,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Corpus Christi,2020,Poland,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,False,0,24,0.0
Crazy Heart,2010,"Jeff Bridges, Maggie Gyllenhaal",Winner,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,23,4.35
Creed,2016,Sylvester Stallone,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Crip Camp,2021,"Nicole Newnham, Jim LeBrecht and Sara Bolder",,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,21,0.0
Crisis Hotline: Veterans Press 1,2015,Ellen Goosenberg Kent and Dana Perry,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,True,1,23,4.35
Cruella,2022,"Jenny Beavan, Nadia Stacey, Naomi Donne and Julia Vernon",,,,,,,,,,Winner,,,,,,,,,,,,,Nominated,,,,,,,,,,,,True,1,22,4.55
Curfew,2013,Shawn Christensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,True,1,22,4.55
Cutie and the Boxer,2014,Zachary Heinzerling and Lydia Dean Pilcher,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Cyrano,2022,Massimo Cantini Parrini and Jacqueline Durran,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Da 5 Bloods,2021,Terence Blanchard,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,False,0,21,0.0
Dallas Buyers Club,2014,"Matthew McConaughey, Jared Leto, John Mac McMurphy and Martin Pensa, Adruitha Lee and Robin Mathews, Robbie Brenner and Rachel Winter, Producers, Written by Craig Borten & Melisa Wallack",Winner,Winner,,,,,,Nominated,,,,,,,,Nominated,,,,,,,Winner,,,,,,,,,,,Nominated,True,3,23,13.04
Darkest Hour,2018,"Gary Oldman, Bruno Delbonnel, Jacqueline Durran, Kazuhiro Tsuji, David Malinowski and Lucy Sibbick, Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten and Douglas Urbanski, Producers, Production Design: Sarah Greenwood; Set Decoration: Katie Spencer",Winner,,,,,,,Nominated,Nominated,Nominated,,,,,,,,,,,,,Winner,,,Nominated,,,,,,,,,True,2,22,9.09
Dawn of the Planet of the Apes,2015,"Joe Letteri, Dan Lemmon, Daniel Barrett and Erik Winquist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,False,0,23,0.0
Day & Night,2011,Teddy Newton,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,22,0.0
Day One,2016,Henry Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,23,0.0
Dcera (Daughter),2020,Daria Kashcheeva,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,24,0.0
Dear Basketball,2018,Glen Keane and Kobe Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,,True,1,22,4.55
Death of a Shadow (Dood van een Schaduw),2013,Tom Van Avermaet and Ellen De Waele,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,22,0.0
Deepwater Horizon,2017,"Wylie Stateman and Renée Tondelli, Craig Hammack, Jason Snell, Jason Billington and Burt Dalton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,Nominated,,,False,0,23,0.0
Defiance,2009,James Newton Howard,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,False,0,23,0.0
DeKalb Elementary,2018,Reed Van Dyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,22,0.0
Departures,2009,Japan,,,,,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,True,1,23,4.35
Despicable Me 2,2014,"Chris Renaud, Pierre Coffin and Chris Meledandri",,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Detainment,2019,Vincent Lambe and Darren Mahon,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,23,0.0
Dimanche/Sunday (Sunday),2012,Patrick Doyon,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,22,0.0
Dirty Wars,2014,Richard Rowley and Jeremy Scahill,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
District 9,2010,"Julian Clarke, Peter Jackson and Carolynne Cunningham, Producers, Dan Kaufman, Peter Muyzers, Robert Habros and Matt Aitken, Written by Neill Blomkamp and Terri Tatchell",,,,,,,,Nominated,,,,,,,,Nominated,,,,,,,,,,,,,,,,Nominated,Nominated,,False,0,23,0.0
Django Unchained,2013,"Christoph Waltz, Robert Richardson, Stacey Sher, Reginald Hudlin and Pilar Savone, Producers, Wylie Stateman, Written by Quentin Tarantino",,Winner,,,,,,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,Nominated,,,,Winner,True,2,22,9.09
Do Not Split,2021,Anders Hammer and Charlotte Cook,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,21,0.0
Doctor Strange,2017,"Stephane Ceretti, Richard Bluff, Vincent Cirelli and Paul Corbould",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,False,0,23,0.0
Dogtooth,2011,Greece,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,False,0,22,0.0
Don't Look Up,2022,"Hank Corwin, Nicholas Britell, Adam McKay and Kevin Messick, Producers, Screenplay by Adam McKay; Story by Adam McKay & David Sirota",,,,,,,,Nominated,,,,,,,,Nominated,,,,,,,,Nominated,,,,,,,,,,Nominated,False,0,22,0.0
Doubt,2009,"Philip Seymour Hoffman, Meryl Streep, Amy Adams, Viola Davis, Written by John Patrick Shanley",,Nominated,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,False,0,23,0.0
Drive,2012,Lon Bender and Victor Ray Ennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,False,0,22,0.0
Drive My Car,2022,"Ryusuke Hamaguchi, Japan, Teruhisa Yamamoto, Producer, Screenplay by Ryusuke Hamaguchi, Takamasa Oe",,,,,,,,Nominated,,,Nominated,,,,,,,Winner,,,,,,,,,,,,,,,Nominated,,True,1,22,4.55
Dune,2022,"Greig Fraser, Jacqueline West and Robert Morgan, Joe Walker, Donald Mowat, Love Larson and Eva von Bahr, Hans Zimmer, Mary Parent, Denis Villeneuve and Cale Boyter, Producers, Production Design: Patrice Vermette; Set Decoration: Zsuzsanna Sipos, Mac Ruth, Mark Mangini, Theo Green, Doug Hemphill and Ron Bartlett, Paul Lambert, Tristan Myles, Brian Connor and Gerd Nefzer, Screenplay by Jon Spaihts and Denis Villeneuve and Eric Roth",,,,,,,,Nominated,Winner,Nominated,,,,,,Winner,,,,,,,Nominated,Winner,,Winner,,,Winner,,,Winner,Nominated,,True,6,22,27.27
Dunkirk,2018,"Hoyte van Hoytema, Christopher Nolan, Lee Smith, Hans Zimmer, Emma Thomas and Christopher Nolan, Producers, Production Design: Nathan Crowley; Set Decoration: Gary Fettis, Richard King and Alex Gibson, Gregg Landaker, Gary A. Rizzo and Mark Weingarten",,,,,,,,Nominated,Nominated,,Nominated,,,,,Winner,,,,,,,,Nominated,,Nominated,,,,Winner,Winner,,,,True,3,22,13.64
Edith+Eddie,2018,Laura Checkoway and Thomas Lee Wright,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
El Conde,2024,Edward Lachman,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Elemental,2024,Peter Sohn and Denise Ream,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Elle,2017,Isabelle Huppert,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Elvis,2023,"Austin Butler, Mandy Walker, Catherine Martin, Matt Villa and Jonathan Redmond, Mark Coulier, Jason Baird and Aldo Signoretti, Baz Luhrmann, Catherine Martin, Gail Berman, Patrick McCormick and Schuyler Weiss, Producers, Production Design: Catherine Martin and Karen Murphy; Set Decoration: Bev Dunn, David Lee, Wayne Pashley, Andy Nelson and Michael Keller",Nominated,,,,,,,Nominated,Nominated,Nominated,,,,,,Nominated,,,,,,,Nominated,,,Nominated,,,Nominated,,,,,,False,0,21,0.0
Embrace of the Serpent,2016,Colombia,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,False,0,23,0.0
Emma,2021,"Alexandra Byrne, Marese Langan, Laura Allen and Claudia Stolze",,,,,,,,,,Nominated,,,,,,,,,,,,,Nominated,,,,,,,,,,,,False,0,21,0.0
Empire of Light,2023,Roger Deakins,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,21,0.0
Encanto,2022,"Jared Bush, Byron Howard, Yvett Merino and Clark Spencer, Germaine Franco",,,,,Winner,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,True,1,22,4.55
Encounters at the End of the World,2009,Werner Herzog and Henry Kaiser,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
End Game,2019,Rob Epstein and Jeffrey Friedman,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Ennemis Intérieurs,2017,Sélim Azzazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,23,0.0
EO,2023,Poland,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,False,0,21,0.0
Ernest & Celestine,2014,Benjamin Renner and Didier Brunner,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Everything Everywhere All at Once,2023,"Ke Huy Quan, Michelle Yeoh, Jamie Lee Curtis, Stephanie Hsu, Shirley Kurata, Daniel Kwan and Daniel Scheinert, Paul Rogers, Son Lux, Daniel Kwan, Daniel Scheinert and Jonathan Wang, Producers, Written by Daniel Kwan & Daniel Scheinert",,Winner,Winner,Nominated,,,,Winner,,Nominated,Winner,,,,,Winner,,,,,,,,Nominated,,,,,,,,,,Winner,True,6,21,28.57
Everything Will Be Okay (Alles Wird Gut),2016,Patrick Vollrath,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,23,0.0
Ex Machina,2016,"Andrew Whitehurst, Paul Norris, Mark Ardington and Sara Bennett, Written by Alex Garland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,Nominated,True,1,23,4.35
Exit through the Gift Shop,2011,Banksy and Jaimie D'Cruz,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Extremely Loud & Incredibly Close,2012,"Max von Sydow, Scott Rudin, Producer",,Nominated,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Extremis,2017,Dan Krauss,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Faces Places,2018,"Agnès Varda, JR and Rosalie Varda",,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Facing Fear,2014,Jason Cohen,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Fantastic Beasts and Where to Find Them,2017,"Colleen Atwood, Production Design: Stuart Craig; Set Decoration: Anna Pinnock",,,,,,,,,,Winner,,,,,,,,,,,,,,,,Nominated,,,,,,,,,True,1,23,4.35
Fantastic Mr. Fox,2010,"Wes Anderson, Alexandre Desplat",,,,,Nominated,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,False,0,23,0.0
Fauve,2019,Jeremy Comte and Maria Gracia Turgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,23,0.0
Feast,2015,Patrick Osborne and Kristina Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,,True,1,23,4.35
Feeling Through,2021,Doug Roland and Susan Ruzenski,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,21,0.0
Fences,2017,"Denzel Washington, Viola Davis, Scott Rudin, Denzel Washington and Todd Black, Producers, Screenplay by August Wilson",Nominated,,,Winner,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,True,1,23,4.35
Feral,2014,Daniel Sousa and Dan Golden,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,23,0.0
Ferdinand,2018,Carlos Saldanha and Lori Forte,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Finding Vivian Maier,2015,John Maloof and Charlie Siskel,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Fire at Sea,2017,Gianfranco Rosi and Donatella Palermo,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Fire of Love,2023,"Sara Dosa, Shane Boris and Ina Fichman",,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,False,0,21,0.0
First Man,2019,"Production Design: Nathan Crowley; Set Decoration: Kathy Lucas, Ai-Ling Lee and Mildred Iatrou Morgan, Jon Taylor, Frank A. Montaño, Ai-Ling Lee and Mary H. Ellis, Paul Lambert, Ian Hunter, Tristan Myles and J.D. Schwalm",,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,Nominated,Nominated,Winner,,,True,1,23,4.35
First Reformed,2019,Written by Paul Schrader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,False,0,23,0.0
Flee,2022,"Jonas Poher Rasmussen, Monica Hellström, Signe Byrge Sørensen and Charlotte De La Gournerie, Jonas Poher Rasmussen, Monica Hellström, Signe Byrge Sørensen and Charlotte De La Gournerie, Denmark",,,,,Nominated,,,,,,,Nominated,,,,,,Nominated,,,,,,,,,,,,,,,,,False,0,22,0.0
Flight,2013,"Denzel Washington, Written by John Gatins",Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,False,0,22,0.0
Florence Foster Jenkins,2017,"Meryl Streep, Consolata Boyle",,,Nominated,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
"Food, Inc.",2010,Robert Kenner and Elise Pearlstein,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Footnote,2012,Israel,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,False,0,22,0.0
For Sama,2020,Waad al-Kateab and Edward Watts,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,24,0.0
Ford v Ferrari,2020,"Michael McCusker and Andrew Buckland, Peter Chernin, Jenno Topping and James Mangold, Producers, Donald Sylvester, Paul Massey, David Giammarco and Steven A. Morrow",,,,,,,,Nominated,,,,,,,,Winner,,,,,,,,,,,,,,Winner,Nominated,,,,True,2,24,8.33
Four Daughters,2024,Kaouther Ben Hania and Nadim Cheikhrouha,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Foxcatcher,2015,"Steve Carell, Mark Ruffalo, Bennett Miller, Bill Corso and Dennis Liddiard, Written by E. Max Frye and Dan Futterman",Nominated,Nominated,,,,,,,,,Nominated,,,,,,,,,,,,Nominated,,,,,,,,,,,Nominated,False,0,23,0.0
Frankenweenie,2013,Tim Burton,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Free Guy,2022,"Swen Gillberg, Bryan Grill, Nikos Kalaitzidis and Dan Sudick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,False,0,22,0.0
Free Solo,2019,"Elizabeth Chai Vasarhelyi, Jimmy Chin, Evan Hayes and Shannon Dill",,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,True,1,23,4.35
French Roast,2010,Fabrice O. Joubert,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,23,0.0
Fresh Guacamole,2013,PES,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,22,0.0
Frost/Nixon,2009,"Frank Langella, Ron Howard, Mike Hill and Dan Hanley, Brian Grazer, Ron Howard and Eric Fellner, Producers, Screenplay by Peter Morgan",Nominated,,,,,,,Nominated,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,Nominated,,False,0,23,0.0
Frozen,2014,"Chris Buck, Jennifer Lee and Peter Del Vecho",,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,23,4.35
Frozen River,2009,"Melissa Leo, Written by Courtney Hunt",,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,False,0,23,0.0
Garden Party,2018,Victor Caire and Gabriel Grapperon,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,22,0.0
Gasland,2011,Josh Fox and Trish Adlesic,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Genius Loci,2021,Adrien Mérigeau and Amaury Ovise,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,21,0.0
Germany,2019,Never Look Away,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,False,0,23,0.0
Get a Horse!,2014,Lauren MacMullan and Dorothy McKim,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,23,0.0
